,Bandit,Reward,Algorithm
322,3,4.2013877726007856,Epsilon Greedy
323,3,4.685210062688773,Epsilon Greedy
324,3,3.6626063888367026,Epsilon Greedy
325,3,4.265874184554066,Epsilon Greedy
326,3,4.24326332068599,Epsilon Greedy
327,3,2.9772562673330487,Epsilon Greedy
328,3,1.702848504443748,Epsilon Greedy
329,3,3.486149876647735,Epsilon Greedy
330,3,3.1309102372259865,Epsilon Greedy
331,3,4.347795761190354,Epsilon Greedy
332,3,4.933060167075463,Epsilon Greedy
333,3,6.144749370642291,Epsilon Greedy
334,3,6.2327771729961405,Epsilon Greedy
335,3,4.2140839617699095,Epsilon Greedy
336,3,4.526400714756914,Epsilon Greedy
337,3,3.9319698224638944,Epsilon Greedy
338,3,3.746446977633418,Epsilon Greedy
339,3,4.373936162262485,Epsilon Greedy
340,3,3.187425019976922,Epsilon Greedy
341,3,2.9439641529036424,Epsilon Greedy
342,3,2.2833428641667837,Epsilon Greedy
343,3,2.2336823157719063,Epsilon Greedy
344,3,2.660432614729618,Epsilon Greedy
345,3,4.148005094063689,Epsilon Greedy
346,3,5.363307522142169,Epsilon Greedy
347,3,3.530719237115809,Epsilon Greedy
348,3,3.1380641790200374,Epsilon Greedy
349,3,3.51285348967404,Epsilon Greedy
350,2,2.43796612199998,Epsilon Greedy
351,3,2.638064733742673,Epsilon Greedy
352,3,4.701843727058109,Epsilon Greedy
353,3,6.180475627797858,Epsilon Greedy
354,3,4.284173033810319,Epsilon Greedy
355,3,1.6740036119672963,Epsilon Greedy
356,3,3.0381668214070663,Epsilon Greedy
357,3,4.25775787839124,Epsilon Greedy
358,3,4.047220179097645,Epsilon Greedy
359,3,4.049158740538843,Epsilon Greedy
360,3,4.816393054793938,Epsilon Greedy
361,3,1.86143426165152,Epsilon Greedy
362,3,4.677886337215544,Epsilon Greedy
363,3,5.626603343982215,Epsilon Greedy
364,3,5.515423964082195,Epsilon Greedy
365,3,3.4839386539654944,Epsilon Greedy
366,3,4.379077200789819,Epsilon Greedy
367,3,4.181500164440177,Epsilon Greedy
368,3,3.5927976187218533,Epsilon Greedy
369,3,3.9459417039814406,Epsilon Greedy
370,3,3.3848653841295433,Epsilon Greedy
371,3,1.2326928898076246,Epsilon Greedy
372,3,6.042802766272192,Epsilon Greedy
373,3,3.607369071302016,Epsilon Greedy
374,3,3.6282921454305375,Epsilon Greedy
375,3,4.407489443724534,Epsilon Greedy
376,3,4.54073645437353,Epsilon Greedy
377,3,2.3984013549448715,Epsilon Greedy
378,3,3.4605151476557374,Epsilon Greedy
379,3,4.975321027626921,Epsilon Greedy
380,3,3.967076063876788,Epsilon Greedy
381,3,3.280344938011819,Epsilon Greedy
382,3,4.725035061420267,Epsilon Greedy
383,3,3.520667434532832,Epsilon Greedy
384,3,4.686905061912321,Epsilon Greedy
385,3,4.094652032978802,Epsilon Greedy
386,3,4.561744476430245,Epsilon Greedy
387,3,3.70436865079731,Epsilon Greedy
388,3,4.739943786624084,Epsilon Greedy
389,3,5.927244063455847,Epsilon Greedy
390,3,5.37237000270378,Epsilon Greedy
391,3,1.9537970148689627,Epsilon Greedy
392,3,4.928067973039464,Epsilon Greedy
393,3,4.495026646887471,Epsilon Greedy
394,3,4.043828761808019,Epsilon Greedy
395,3,3.8447076625321754,Epsilon Greedy
396,3,5.531020169819323,Epsilon Greedy
397,3,5.064346185074103,Epsilon Greedy
398,3,3.39052145852242,Epsilon Greedy
