,Bandit,Reward,Algorithm
129,3,3.676998789041351,Thompson Sampling
130,3,3.787467087512356,Thompson Sampling
131,3,3.12934425583952,Thompson Sampling
132,3,2.49585940428914,Thompson Sampling
133,3,2.8128392939641005,Thompson Sampling
134,3,2.824958306948275,Thompson Sampling
135,3,2.7446755171659154,Thompson Sampling
136,3,5.503282278867063,Thompson Sampling
137,3,3.2665902588214086,Thompson Sampling
138,3,3.9761222132341296,Thompson Sampling
139,3,6.157283926552719,Thompson Sampling
140,3,4.191304767731239,Thompson Sampling
141,3,4.4242204640797285,Thompson Sampling
142,3,3.5738862316063216,Thompson Sampling
143,3,4.154597366997547,Thompson Sampling
144,3,3.651526385119699,Thompson Sampling
145,3,4.401167806197788,Thompson Sampling
146,3,2.8391577405544943,Thompson Sampling
147,3,4.567432224162788,Thompson Sampling
